AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,RepeatOffender,GangID,Phone
1,22,Zansi Sachdev,66,1,A2,True,GANG-528,+913099522165
2,631,Gautam Sengupta,44,1,A5,True,GANG-342,02095344284
3,136,Timothy Korpal,45,1,A4,False,,9529597555
4,144,Ayaan Bail,27,2,A5,False,,03065169733
5,503,Arin Chadha,42,2,A5,False,,08119396995
6,593,Nathaniel Srivastava,44,2,A5,False,,06433538311
7,238,William Ramakrishnan,27,2,A2,False,,+910485470092
8,790,Niharika Batta,42,1,A1,False,,03584208326
9,914,Abha Kurian,67,2,A2,False,,+919831695273
10,211,Niharika Radhakrishnan,54,1,A5,False,,5436959083
11,372,Devansh Yohannan,20,2,A5,True,GANG-467,+914405147213
12,561,Nidra Kashyap,37,1,A1,False,,02884392685
13,697,Nitara Sen,55,2,A2,False,,+910602811843
14,352,Ladli Bhatt,38,1,A5,False,,1334557822
15,7,Vasudha Parikh,50,1,A5,False,,+915252032305
16,307,Chanchal Baral,32,2,A3,False,,9959973278
17,70,Anthony Roy,21,1,A5,False,,+918514159009
18,152,Pushti Shah,23,2,A3,False,,00867793148
19,619,Yauvani Boase,28,1,A4,False,,+912715716272
20,465,Vinaya Padmanabhan,28,2,A2,False,,1488177676
21,302,Gauri Baral,48,2,A5,False,,05030320270
22,418,Aditya Rege,36,2,A2,False,,+919111500181
23,385,Qushi Rai,19,2,A1,False,,1616107158
24,14,Ekalinga Palla,31,2,A1,False,,8947379831
25,648,Quincy Garde,61,1,A1,False,,+915484103197
26,133,Kai Keer,23,2,A5,False,,00430251057
27,592,Nimrat Deshpande,57,2,A3,True,GANG-876,03931864769
28,269,Tarak Prasad,70,2,A1,False,,5192927686
29,632,Yash Narayanan,21,2,A5,False,,+915533243773
30,1,Nisha Mammen,58,1,A5,False,,03398703234
31,227,Krish Master,55,1,A2,False,,3243195610
32,347,Libni D’Alia,67,1,A3,False,,03933496640
33,946,Yuvraj Gara,49,2,A2,False,,+919980365105
34,121,Baljiwan Ramachandran,26,1,A2,False,,6662121768
35,513,Ridhi Ahluwalia,34,1,A3,False,,+918031735727
36,548,Raksha Natarajan,64,2,A5,True,GANG-547,+919213262411
37,942,Saanvi Wable,27,2,A4,False,,+915843660348
38,828,Chatresh Patil,58,2,A4,True,GANG-229,08990344028
39,345,Aashi Rajan,46,2,A2,False,,2271470738
40,770,Bhavini Nair,63,2,A1,False,,00496624363
41,903,Farhan Kulkarni,33,2,A4,False,,02294093889
42,482,Megha Deol,56,2,A2,True,GANG-155,07608230717
43,532,Turvi Chand,35,2,A3,True,GANG-312,+912972308004
44,968,Praneel Gulati,22,1,A1,False,,4723327370
45,196,Zayan Bir,61,2,A2,False,,08258611621
46,30,Fiyaz Hari,38,2,A3,False,,04995287552
47,355,Robert Devan,19,2,A3,False,,7641839490
48,790,Eiravati Pandey,29,2,A5,False,,8772776807
49,250,Pooja Kuruvilla,61,2,A5,False,,4643100907
50,389,Neha Agarwal,63,2,A2,False,,+915063019813
51,962,Raagini Comar,21,1,A3,False,,09605765044
52,342,Hitesh Tak,34,1,A4,False,,+912984414529
53,466,Samesh Sampath,25,1,A2,False,,06173752786
54,927,William Sampath,68,2,A4,True,GANG-941,+919792887970
55,105,Chasmum Pandya,19,2,A2,False,,08495817283
56,595,Nirja Ratti,42,2,A5,False,,+917286074139
57,117,Rohan Dixit,39,2,A2,False,,2166620776
58,129,Lajita Wason,67,2,A2,False,,+914431298486
59,36,Dev Chauhan,45,2,A4,True,GANG-270,+912673558758
60,122,Anirudh Radhakrishnan,70,2,A1,False,,+911600770237
61,213,Viraj Comar,30,1,A1,False,,+913670552530
62,459,Aarini Koshy,70,1,A5,False,,+911281380835
63,182,Lipika Shroff,55,1,A4,False,,1140077135
64,1000,Naksh Walia,43,1,A4,True,GANG-558,08207682945
65,944,Isaac Pillai,60,2,A3,True,GANG-312,0462705044
66,254,Naveen Deshpande,25,2,A5,False,,6441723875
67,623,Nicholas Arya,56,1,A2,True,GANG-535,+917697815068
68,814,Arya Mani,61,1,A3,False,,9128065769
69,505,Balendra Dave,55,1,A3,False,,01268381287
70,602,Bhavani Dugar,59,2,A3,False,,01896185989
71,830,Aadi Sekhon,27,1,A3,False,,2315794918
72,929,Abeer Mutti,41,1,A2,False,,4478829944
73,764,Amol Prakash,18,2,A2,False,,+918761054037
74,140,Forum Bakshi,70,2,A1,False,,0960239284
75,254,Christopher Yogi,29,1,A2,False,,05767214386
76,256,Udarsh Shroff,53,1,A3,False,,+910055467178
77,905,Aarnav Raj,61,1,A4,False,,7144505440
78,818,Dakshesh Nazareth,18,1,A2,True,GANG-843,2556848028
79,137,Osha Dara,66,2,A5,True,GANG-535,0503789736
